type,bank,distance,amount,min,medium,time,label
PERSON,FIRST BANK,7,32000,38180,MOBILE,2023-01-01T00:04:19Z,Clean
PERSON,FIRST BANK,21,20000,7710,MOBILE,2023-01-01T00:05:19Z,Clean
MERCHANT,UBA,22,49000,12360,WEB,2023-01-01T00:05:29Z,Clean
PERSON,ACCESS BANK,11,94000,810,MOBILE,2023-01-01T00:06:19Z,Clean
PERSON,FIRST BANK,4,287000,9,MOBILE,2023-01-01T00:07:49Z,Clean
PERSON,OTHER_TIER1_BANKS,8,429000,37490,MOBILE,2023-01-01T00:17:19Z,Clean
PERSON,ECOBANK,1,1110000,1150,MOBILE,2023-01-01T00:18:04Z,Clean
PERSON,EXAMPLE BANK,10,262000,46520,WEB,2023-01-01T01:01:19Z,Clean
PERSON,UNION BANK,4,76000,53660,MOBILE,2023-01-01T01:02:18Z,Clean
PERSON,FIRST BANK,15,70000,8350,MOBILE,2023-01-01T01:07:01Z,Clean
MERCHANT,FIRST BANK,144,65000,3,MOBILE,2023-01-01T01:13:02Z,Fraud
PERSON,ECOBANK,21,49000,67100,MOBILE,2023-01-01T01:17:01Z,Clean
PERSON,FIRST BANK,21,50000,10330,MOBILE,2023-01-01T01:17:01Z,Clean
PERSON,FINTECH BANKS,3,200000,27000,MOBILE,2023-01-01T01:17:21Z,Clean
PERSON,FIRST BANK,22,1581000,48270,WEB,2023-01-01T01:18:19Z,Clean
PERSON,GTB,24,59000,13610,IN-BRANCH,2023-01-01T01:19:18Z,Clean
PERSON,FINTECH BANKS,14,1000,7320,MOBILE,2023-01-01T01:22:20Z,Clean
PERSON,FIRST BANK,9,252000,30,MOBILE,2023-01-01T02:01:09Z,Clean
PERSON,FIRST BANK,12,5000,67220,MOBILE,2023-01-01T02:13:00Z,Clean
PERSON,ACCESS BANK,38,32000,8000,WEB,2023-01-01T02:13:00Z,Clean
PERSON,ACCESS BANK,6,49000,990,MOBILE,2023-01-01T02:19:19Z,Clean
BUSINESS,GTB,1,31000,67060,WEB,2023-01-01T03:07:13Z,Clean
MERCHANT,GTB,11,38000,80090,MOBILE,2023-01-01T03:16:16Z,Clean
MERCHANT,UBA,10,251000,89530,MOBILE,2023-01-01T03:22:21Z,Clean
PERSON,ECOBANK,10,32000,7740,WEB,2023-01-01T04:10:01Z,Clean
PERSON,STERLING BANK,0,48000,62650,MOBILE,2023-01-01T04:21:17Z,Clean
PERSON,FINTECH BANKS,14,9000,60310,MOBILE,2023-01-01T05:20:07Z,Clean
PERSON,ACCESS BANK,11,1321000,44220,MOBILE,2023-01-01T06:02:21Z,Clean
PERSON,FINTECH BANKS,9,19000,470,MOBILE,2023-01-01T06:05:19Z,Clean
BUSINESS,OTHER_TIER1_BANKS,7,5000,67000,MOBILE,2023-01-01T06:07:04Z,Clean
PERSON,FIRST BANK,11,264000,75600,MOBILE,2023-01-01T06:08:14Z,Clean
PERSON,ECOBANK,13,251000,78820,MOBILE,2023-01-01T07:07:01Z,Clean
PERSON,OTHER_TIER1_BANKS,16,155000,53750,MOBILE,2023-01-01T07:11:15Z,Clean
PERSON,ACCESS BANK,0,34000,1120,MOBILE,2023-01-01T07:16:04Z,Clean
PERSON,ECOBANK,17,279000,13280,MOBILE,2023-01-01T07:17:08Z,Clean
PERSON,FINTECH BANKS,16,201000,13970,MOBILE,2023-01-01T08:01:16Z,Clean
PERSON,FINTECH BANKS,17,32000,920,MOBILE,2023-01-01T08:04:07Z,Clean
PERSON,FIRST BANK,17,70000,45110,MOBILE,2023-01-01T08:06:23Z,Clean
PERSON,GTB,5,215000,61700,MOBILE,2023-01-01T08:11:09Z,Clean
PERSON,ACCESS BANK,19,225000,3730,MOBILE,2023-01-01T08:12:14Z,Clean
PERSON,FIDELITY BANK,33,3000,5510,MOBILE,2023-01-01T08:19:22Z,Clean
BUSINESS,STERLING BANK,16,30000,67770,MOBILE,2023-01-01T08:22:04Z,Clean
PERSON,FINTECH BANKS,18,5000,12230,MOBILE,2023-01-01T09:03:14Z,Clean
PERSON,UBA,13,20000,70050,WEB,2023-01-01T09:12:14Z,Clean
PERSON,FINTECH BANKS,12,1332000,52950,WEB,2023-01-01T10:00:04Z,Clean
MERCHANT,FIRST BANK,8,1093000,50,WEB,2023-01-01T10:03:22Z,Clean
PERSON,FIRST BANK,27,7000,67340,MOBILE,2023-01-01T10:13:06Z,Clean
PERSON,FINTECH BANKS,14,39000,13930,MOBILE,2023-01-01T11:02:03Z,Clean
BUSINESS,UBA,4,19000,58360,MOBILE,2023-01-01T11:02:06Z,Clean
PERSON,FIDELITY BANK,19,56000,13690,MOBILE,2023-01-01T11:23:13Z,Clean
PERSON,GTB,2,5000,1020,MOBILE,2023-01-01T12:06:04Z,Clean
PERSON,FIDELITY BANK,8,2000,9380,MOBILE,2023-01-01T12:07:18Z,Clean
PERSON,FIRST BANK,5,4000,13240,MOBILE,2023-01-01T12:09:16Z,Clean
MERCHANT,ACCESS BANK,25,285000,480,WEB,2023-01-01T12:09:20Z,Clean
PERSON,ECOBANK,13,206000,640,MOBILE,2023-01-01T12:10:09Z,Clean
MERCHANT,ACCESS BANK,13,4000,10960,MOBILE,2023-01-01T12:11:22Z,Clean
PERSON,FIRST BANK,9,18000,84310,MOBILE,2023-01-01T12:15:17Z,Clean
PERSON,FINTECH BANKS,3,48000,61780,MOBILE,2023-01-01T12:17:17Z,Clean
PERSON,FINTECH BANKS,8,55000,62670,MOBILE,2023-01-01T12:22:17Z,Clean
PERSON,FIRST BANK,20,236000,14590,MOBILE,2023-01-01T13:07:06Z,Clean
PERSON,ACCESS BANK,12,1397000,11580,MOBILE,2023-01-01T13:12:02Z,Clean
PERSON,GTB,5,10000,26200,MOBILE,2023-01-01T13:15:00Z,Clean
PERSON,OTHER_TIER1_BANKS,30,39000,13490,WEB,2023-01-01T13:19:05Z,Clean
PERSON,FIRST BANK,6,19000,14760,MOBILE,2023-01-01T13:19:20Z,Clean
PERSON,EXAMPLE BANK,7,38000,37200,MOBILE,2023-01-01T13:21:06Z,Clean
PERSON,FIRST BANK,23,74000,14660,MOBILE,2023-01-01T14:01:16Z,Clean
PERSON,GTB,33,9000,3450,WEB,2023-01-01T14:03:03Z,Clean
PERSON,FIRST BANK,23,53000,13540,MOBILE,2023-01-01T14:15:04Z,Clean
PERSON,FIRST BANK,21,6000,44750,WEB,2023-01-01T14:17:00Z,Clean
PERSON,OTHER_TIER1_BANKS,15,1267000,7240,MOBILE,2023-01-01T14:17:14Z,Clean
PERSON,OTHER_TIER1_BANKS,3,261000,33520,MOBILE,2023-01-01T14:19:07Z,Clean
MERCHANT,STERLING BANK,1,71000,28320,MOBILE,2023-01-01T15:12:04Z,Clean
PERSON,ACCESS BANK,42,15000,74280,MOBILE,2023-01-01T15:16:03Z,Clean
PERSON,ACCESS BANK,26,33000,6740,MOBILE,2023-01-01T15:17:04Z,Clean
MERCHANT,FIRST BANK,317,76000,340,MOBILE,2023-01-01T15:22:05Z,Fraud
PERSON,ACCESS BANK,0,51000,8410,MOBILE,2023-01-01T16:01:17Z,Clean
PERSON,ACCESS BANK,23,14000,1180,WEB,2023-01-01T16:05:23Z,Clean
PERSON,FIRST BANK,19,67000,14690,MOBILE,2023-01-01T16:11:22Z,Clean
PERSON,OTHER_TIER1_BANKS,14,30000,8240,MOBILE,2023-01-01T16:14:04Z,Clean
PERSON,FIRST BANK,13,135000,40410,MOBILE,2023-01-01T16:18:11Z,Clean
PERSON,GTB,9,55000,14790,MOBILE,2023-01-01T17:02:06Z,Clean
PERSON,OTHER_TIER1_BANKS,7,4000,71170,MOBILE,2023-01-01T17:02:22Z,Clean
PERSON,EXAMPLE BANK,19,60000,12520,MOBILE,2023-01-01T17:02:23Z,Clean
PERSON,FINTECH BANKS,16,79000,53070,MOBILE,2023-01-01T17:05:14Z,Clean
PERSON,STERLING BANK,4,74000,82550,MOBILE,2023-01-01T17:15:13Z,Clean
PERSON,FIRST BANK,12,13000,83610,MOBILE,2023-01-01T17:16:06Z,Clean
BUSINESS,FIRST BANK,9,35000,20920,WEB,2023-01-01T18:01:22Z,Clean
MERCHANT,FIRST BANK,88,171000,980,WEB,2023-01-01T18:05:15Z,Fraud
PERSON,GTB,18,197000,13000,MOBILE,2023-01-01T18:12:17Z,Clean
PERSON,EXAMPLE BANK,5,296000,31220,MOBILE,2023-01-01T18:16:06Z,Clean
PERSON,FINTECH BANKS,9,108000,84980,WEB,2023-01-01T19:01:08Z,Clean
PERSON,ACCESS BANK,11,50000,25610,MOBILE,2023-01-01T19:03:21Z,Clean
PERSON,FIRST BANK,21,215000,10930,WEB,2023-01-01T19:10:15Z,Clean
PERSON,FIRST BANK,11,69000,10290,IN-BRANCH,2023-01-01T19:14:03Z,Clean
PERSON,ACCESS BANK,22,60000,390,MOBILE,2023-01-01T19:18:12Z,Clean
PERSON,ACCESS BANK,23,14000,79520,MOBILE,2023-01-01T19:21:15Z,Clean
PERSON,ACCESS BANK,7,74000,69080,MOBILE,2023-01-01T20:02:21Z,Clean
PERSON,ACCESS BANK,17,1000,12320,PHONE,2023-01-01T20:10:04Z,Clean
MERCHANT,FINTECH BANKS,61,52000,1,MOBILE,2023-01-01T20:10:14Z,Fraud
MERCHANT,FIRST BANK,9,80000,9,MOBILE,2023-01-01T20:11:06Z,Fraud
MERCHANT,OTHER_TIER1_BANKS,10,11000,9570,MOBILE,2023-01-01T20:16:21Z,Clean
PERSON,FIRST BANK,49,67000,40,MOBILE,2023-01-01T20:19:14Z,Fraud
PERSON,OTHER_TIER1_BANKS,18,9000,82160,WEB,2023-01-01T20:22:14Z,Clean
PERSON,GTB,9,246000,67910,MOBILE,2023-01-01T21:07:12Z,Clean
PERSON,ACCESS BANK,16,71000,68530,MOBILE,2023-01-01T21:07:18Z,Clean
PERSON,FINTECH BANKS,11,1000,8450,PHONE,2023-01-01T21:12:01Z,Clean
PERSON,GTB,6,16000,13370,WEB,2023-01-01T21:19:06Z,Clean
PERSON,FINTECH BANKS,9,103000,42180,MOBILE,2023-01-01T21:21:06Z,Clean
PERSON,FIRST BANK,0,66000,76510,WEB,2023-01-01T22:00:02Z,Clean
PERSON,FINTECH BANKS,16,50000,1620,MOBILE,2023-01-01T22:04:16Z,Clean
PERSON,FIRST BANK,22,10000,66200,MOBILE,2023-01-01T22:09:15Z,Clean
BUSINESS,ACCESS BANK,22,32000,75320,MOBILE,2023-01-01T22:14:00Z,Clean
PERSON,STERLING BANK,12,249000,4220,MOBILE,2023-01-01T22:15:10Z,Clean
MERCHANT,UBA,16,63000,12460,MOBILE,2023-01-02T00:04:15Z,Clean
PERSON,EXAMPLE BANK,12,200000,9420,MOBILE,2023-01-02T00:14:02Z,Clean
PERSON,GTB,8,263000,1190,MOBILE,2023-01-02T00:19:10Z,Clean
PERSON,FINTECH BANKS,2,45000,61940,MOBILE,2023-01-02T01:04:11Z,Clean
PERSON,GTB,13,47000,14920,WEB,2023-01-02T01:12:04Z,Clean
PERSON,STERLING BANK,11,44000,7870,WEB,2023-01-02T01:22:10Z,Clean
PERSON,GTB,2,33000,10130,MOBILE,2023-01-02T02:00:18Z,Clean
PERSON,ACCESS BANK,20,20000,20250,MOBILE,2023-01-02T02:03:14Z,Clean
MERCHANT,FIRST BANK,14,2000,42620,MOBILE,2023-01-02T02:14:08Z,Clean
PERSON,FIRST BANK,7,189000,44520,MOBILE,2023-01-02T02:15:03Z,Clean
PERSON,FIDELITY BANK,6,79000,14000,MOBILE,2023-01-02T02:22:07Z,Clean
PERSON,OTHER_TIER1_BANKS,11,12000,480,MOBILE,2023-01-02T02:23:06Z,Clean
PERSON,FIRST BANK,10,66000,13640,MOBILE,2023-01-02T02:23:11Z,Clean
PERSON,UBA,2,15000,45140,MOBILE,2023-01-02T03:01:04Z,Clean
PERSON,STERLING BANK,9,31000,58050,MOBILE,2023-01-02T03:03:03Z,Clean
PERSON,ECOBANK,24,1749000,73550,MOBILE,2023-01-02T03:03:18Z,Clean
PERSON,UBA,0,46000,7650,MOBILE,2023-01-02T03:05:16Z,Clean
PERSON,FIDELITY BANK,21,3000,14590,MOBILE,2023-01-02T03:22:00Z,Clean
PERSON,FIRST BANK,7,4000,85070,MOBILE,2023-01-02T03:23:19Z,Clean
PERSON,OTHER_TIER1_BANKS,13,5000,71740,WEB,2023-01-02T04:10:17Z,Clean
BUSINESS,ECOBANK,9,17000,77550,IN-BRANCH,2023-01-02T04:11:17Z,Clean
PERSON,FINTECH BANKS,172,48000,510,MOBILE,2023-01-02T05:02:13Z,Fraud
MERCHANT,FINTECH BANKS,49,34000,60,WEB,2023-01-02T05:03:03Z,Fraud
PERSON,OTHER_TIER1_BANKS,7,52000,6220,MOBILE,2023-01-02T05:09:03Z,Clean
PERSON,GTB,27,20000,66740,MOBILE,2023-01-02T05:10:00Z,Clean
PERSON,GTB,5,167000,2580,WEB,2023-01-02T05:10:19Z,Clean
PERSON,UBA,15,63000,60110,MOBILE,2023-01-02T05:15:20Z,Clean
